fips,population,pop_change_2018,unemployment_rate,median_hh_income,pct_below_povert,feb_temp_avg,aug_temp_avg,prc_bachelors,physicians_per_pop
12039,45894,-78,4.6,42259,38.2,16.9,27.8,16.7,265.2
12041,18256,391,3.8,42186,23.8,18,27.9,14.2,265.2
12043,13724,116,4,38680,27.6,22.1,28.3,9.9,265.2
12045,16164,42,4.4,45426,26.3,17.8,28,17.7,265.2
12047,14310,-79,4.2,36299,35.9,16.7,27.4,9.3,265.2
12049,27245,43,5.3,39169,38.2,21.3,28.2,10.4,265.2
12051,41556,412,6.1,44391,33.5,22.4,28.4,8.2,265.2
12053,190865,4081,4.5,45884,19.3,20.2,28.4,17.5,265.2
12055,105424,1364,4.8,39994,38.5,21.6,28.2,17,265.2
12057,1436888,26773,3.4,58361,20.1,21.1,28.5,32.7,265.2
12059,19477,29,4,38040,30.6,16.2,27.8,10.3,265.2
12061,157413,3099,4.3,58228,17.9,21,28.2,28.3,265.2
12063,48305,-55,4,39545,33.5,16.7,28,13.4,265.2
12065,14288,141,3.7,46332,28.6,17.2,27.9,22,265.2
12067,8732,109,3.2,42689,26.1,17.6,27.9,15.8,265.2
12069,356495,11408,3.5,52447,19.5,20.1,28.4,22.7,265.2
12071,754610,15104,3.4,56343,18.4,22.4,28.6,27.8,265.2
12073,292502,1255,3.3,51046,20.1,17.2,28.1,45.7,265.2
12075,40770,464,3.8,39037,26.3,18.7,28.1,12.6,265.2
12077,8457,215,3.8,40814,27.1,17.3,27.9,12.7,265.2
12079,18529,64,3.9,38249,32.5,17,27.6,13.8,265.2
12081,394855,9405,3.4,59587,17.3,21,28.3,29.3,265.2
12083,359977,6260,4.3,44517,25.9,19.3,28,19.4,265.2
12085,160912,1120,3.5,61592,16.4,22.6,28.8,33,265.2
12086,2761581,16703,3.9,52043,22.6,23.6,29.1,28.8,265.2
12087,75027,-1609,2.6,67094,19.2,24,29.5,33.3,265.2
12089,85832,2968,3.2,66898,13.7,17.1,28.1,28.2,265.2
12091,207269,3585,2.9,62779,18.1,16.5,28,30.6,265.2
12093,41537,349,3.7,42258,34.4,21.6,28.4,11.4,265.2
12095,1380645,27712,3.2,58037,22.8,20.6,28.4,33.8,265.2
12097,367990,15329,3.6,50473,20.2,21,28.4,20.5,265.2
12099,1485941,15603,3.6,61735,18.5,22.8,28.7,35.7,265.2
12101,539630,14609,3.8,53788,17.4,20.6,28.4,23.4,265.2
12103,975280,5975,3.3,52226,16.2,20.8,28.7,31,265.2
12105,708009,22179,4.1,51354,24,21.2,28.5,20,265.2
12107,74163,778,4.8,39578,33.3,19.1,28.1,12.4,265.2
12109,254261,10333,2.9,81925,7.3,18.9,28.1,43.7,265.2
12111,321128,7728,4.4,53377,18.5,21.9,28.7,20.3,265.2
12113,179349,5280,3.3,69541,12.2,16.4,27.7,28.1,265.2
12115,426718,7029,3.4,61652,16.7,21.4,28.6,34.7,265.2
12117,467832,5596,3.2,67187,13.4,20.4,28.5,38.2,265.2
12119,128754,3821,5.1,55324,26.6,19.9,28.3,31.1,265.2
12121,44191,55,3.7,38525,28.2,17.2,27.7,14.7,265.2
12123,21623,-192,3.8,42307,29.8,17.6,28,7.4,265.2
12125,14940,-529,3.4,45906,21,17.4,27.6,8.3,265.2
12127,547538,9358,3.7,50285,17.5,19.9,28.4,23.6,265.2
12129,32461,360,3.1,58203,16.2,17.4,28.2,18.4,265.2
12131,71375,3100,3.1,60973,18.6,16.6,28,28.4,265.2
12133,24880,262,3.8,39225,32,16.9,27.8,11.7,265.2
13001,18507,69,4.3,42781,34,15.4,27.9,9.7,228.7
